Origen,Página,Tema,Propuesta,,,,,,Persona
Programa,54,Agua y Saneamiento,Se propone implementar un Plan Nacional de Saneamiento con fondos que no provengan exclusivamente derivados de la tarifa de las instituciones responsables de gestionar esos servicios,,,,,,Tabaré Vázquez
Programa,87,Cultura,"Impulsar una modificación de la ley de patrimonio, en consonancia con la de áreas protegidas, que incentive el mantenimiento y preservación del patrimonio también por los actores privados (no siempre expropiar es la mejor solución) que incluya patrimonio edilicio, natural, artístico, documental, subacuático e inmaterial en todo el país.",,,,,,Tabaré Vázquez
Programa,87,Cultura,"Inclusión en la programación de televisión de producción independiente y programas periodísticos de investigación, sea por la vía reglamentaria o con estímulos que en este momento son escasos",,,,,,Tabaré Vázquez
Programa,87,Cultura,"Promover la llegada de TV Sodre y radiofonía nacional a los centros poblados pequeños como forma de democratizar, descentralizar y difundir la cultura nacional.",,,,,,Tabaré Vázquez
Programa,138,Defensa,Denunciar y sustituir el Convenio de Asistencia Militar existente entre Uruguay y los Estados Unidos desde 1953.,,,,,,Tabaré Vázquez
Programa,138,Defensa,En acuerdo colectivo con los países sudamericanos impulsar conjuntamente la denuncia del obsoleto Tratado Interamericano de Asistencia Recíproca (TIAR) por nuevos acuerdos de defensa regional,,,,,,Tabaré Vázquez
Programa,137,Defensa,"Se pondrá en funcionamiento el Servicio General de Movilización (SEGEMO) y el Servicio de Defensa Civil, así como los instrumentos de la Defensa Pasiva, los que se entienden como la organización y capacidad de la población para afrontar contingencias de la naturaleza que van desde catástrofes climáticas, inundaciones, incendios, a .otras eventuales situaciones de cualquier orden, promoviendo que la población comprenda la importancia de estos instrumentos.",,,,,,Tabaré Vázquez
Discurso,2,DD.HH.,"Constitución de un grupo de trabajo por verdad y justicia, cuyo cometido esencial será la investigación de los crímenes cometidos en el marco de la dictadura. Este grupo profundizará en el análisis de los archivos existentes y búsqueda de información relevante en la materia, organizará el registro de testimonios de víctimas o familiares sobre delitos de lesa humanidad, hará el seguimiento del cumplimiento de las sentencias dictadas contra el Estado tanto a nivel nacional como internacional y abordará otras acciones conducentes al objetivo planteado. ",,,,,,Tabaré Vázquez
Programa,129,DD.HH.,Convertir los centros de represión en espacios museísticos.,,,,,,Tabaré Vázquez
Programa,129,DD.HH.,Crear unidades especializadas de investigación de las causas sobre violaciones a los DDHH durante el terrorismo de Estado.,,,,,,Tabaré Vázquez
Programa,129,DD.HH.,"Elaboración de un Plan Nacional de Educación en DDHH, a efectos de brindar capacitación a educadores, instituciones y sujetos involucrados en la aplicación de esta nueva agenda de derechos.",,,,,,Tabaré Vázquez
Programa,130,DD.HH.,Reformar los procedimientos judiciales para de dotarlos de mayor celeridad de manera de que las decisiones judiciales puedan ser efectivas y aporten a la baja de la conflictividad.,,,,,,Tabaré Vázquez
Programa,84,Deporte,Creación y puesta en práctica de un Sistema Nacional de Alto Rendimiento Deportivo.,,,,,,Tabaré Vázquez
Discurso,,Deporte,"Crearemos en el ámbito de la Presidencia de la República la Secretaría Nacional de Deportes. Como consecuencia de ello el actual Ministerio de Turismo y Deporte, pasará a ser Ministerio de Turismo",,,,,,Tabaré Vázquez
Programa,85,Deporte,Extensión y perfeccionamiento del modelo de Plazas de Deporte Siglo XXI y del Proyecto Piloto La Paz,,,,,,Tabaré Vázquez
Programa,114,Discapacidad,"Avanzar en el desarrollo de un Sistema de Certificación Única de discapacidad, para tener criterios uniformes y pautas en todo el país, con el fin de garantizar la equidad en el acceso a las políticas de discapacidad que se implementen desde los diferentes sectores del Estado.",,,,,,Tabaré Vázquez
Programa,114,Discapacidad,Crear el Consejo Nacional de la Discapacidad incluyendo personas con discapacidad vinculadas a Asociaciones Civiles que trabajan con esta población.,,,,,,Tabaré Vázquez
Programa,114,Discapacidad,Dar cabal cumplimiento a la disposición de que el 4% de las vacantes del Estado deban ser cubiertas por personas con discapacidad.,,,,,,Tabaré Vázquez
Programa,114,Discapacidad,"Ejecutar medidas para la accesibilidad universal de los medios de comunicación. Entre otras, hacer accesible la televisión a las personas con discapacidad auditiva. Se atenderá la aplicación del actual proyecto de ley de medios audiovisuales en el capítulo que refiere a los derechos de las personas con discapacidad.",,,,,,Tabaré Vázquez
Programa,114,Discapacidad,Garantizarla accesibilidad universal de los servicios públicos a través de un Plan Nacional de Accesibilidad con énfasis en el transporte y la vivienda.,,,,,,Tabaré Vázquez
Programa,114,Discapacidad,Implementar el Plan Nacional de Acceso a la Justicia y Protección Jurídica de las personas con discapacidad.,,,,,,Tabaré Vázquez
Programa,114,Discapacidad,Implementar un Plan de Turismo Accesible con énfasis en la franja costera.,,,,,,Tabaré Vázquez
Programa,114,Discapacidad,Implementar un Plan Nacional de Rehabilitación – Habilitación y de Acceso a la Salud.,,,,,,Tabaré Vázquez
Programa,114,Discapacidad,Reconocimiento del/la intérpretes de Lengua de Señas Uruguaya como profesional.,,,,,,Tabaré Vázquez
Programa,114,Discapacidad,Se incorporará a la currícula de Formación Docente información y formación sobre la discapacidad.,,,,,,Tabaré Vázquez
Programa,112,Diversidad Sexual,"Ampliación del repertorio de sanciones ante hechos de discriminación (multas económicas, servicio comunitario, otras)",,,,,,Tabaré Vázquez
Programa,113,Diversidad Sexual,Campaña de sensibilización e información sobre el derecho al trabajo de la población trans.,,,,,,Tabaré Vázquez
Programa,113,Diversidad Sexual,Certificación de residencias de larga estadía y servicios de cuidado domiciliario para personas adultas mayores como libres de homo-lesbo-transfobia.,,,,,,Tabaré Vázquez
Programa,112,Diversidad Sexual,Combate a la discriminación por orientación sexual e identidad de género en centros de trabajo generando un área específica en la Inspección General del Trabajo y dotándola de recursos técnicos y financieros.,,,,,,Tabaré Vázquez
Programa,113,Diversidad Sexual,Consolidación de la Tarjeta Uruguay Social como puerta de entrada al sistema de protección social de las personas trans.,,,,,,Tabaré Vázquez
Programa,112,Diversidad Sexual,Consolidación de un sistema gratuito y eficiente de cambio de nombre y sexo registral como ejercicio del derecho a la identidad.,,,,,,Tabaré Vázquez
Programa,113,Diversidad Sexual,Cuotificación de becas de apoyo económico en estudios secundarios y terciarios para personas trans en todos los programas estatales.,,,,,,Tabaré Vázquez
Programa,113,Diversidad Sexual,Cupo en programas sociales de trabajo protegido de distinto tipo para personas trans que no hayan podido culminar sus estudios secundarios.,,,,,,Tabaré Vázquez
Programa,113,Diversidad Sexual,Definir y aplicar un sistema de consulta y monitoreo del cumplimiento de las normativas antidiscriminatorias por orientación sexual e identidad de género a la interna de las Fuerzas Armadas y la Policía Nacional.,,,,,,Tabaré Vázquez
Programa,113,Diversidad Sexual,Garantizar el acceso a la seguridad social de las mujeres trans mayores en situación de vulnerabilidad.,,,,,,Tabaré Vázquez
Programa,112,Diversidad Sexual,Implementación campañas públicas contra la discriminación en los medios masivos de comunicación así como en vía pública que respeten lo avanzado por la propia sociedad civil y la legislación vigente.,,,,,,Tabaré Vázquez
Programa,113,Diversidad Sexual,Incorporación de indicadores y análisis sobre diversidad sexual en Observatorio Nacional en Género y Políticas de Salud Sexual y Reproductiva.,,,,,,Tabaré Vázquez
Programa,113,Diversidad Sexual,"Licencias parentales para ambos miembros de la pareja ante el nacimiento de un hijo/a, con duración equivalente para los/as padres y madres que no portaron el embarazo, así como para las personas que adoptan niños, niñas o adolescentes.",,,,,,Tabaré Vázquez
Programa,113,Diversidad Sexual,"Políticas de atención en salud de las personas LGBTI, especialmente de las personas trans (en endocrinología, asesoramiento respecto a implantes de silicona y en procesos de reasignación de sexo), y profundización de los procesos ya iniciados de capacitación de los y las profesionales de la salud, y de los equipos de salud en general.",,,,,,Tabaré Vázquez
Programa,112,Diversidad Sexual,"Priorizar el combate del bullying homofóbico, lesbofóbico y transfóbico en los centros de enseñanza a través de un programa de referentes y apoyo psicológico  y social.  Esto tiene que ser encarado por toda la comunidad educativa y, especialmente, por los docentes.",,,,,,Tabaré Vázquez
Programa,113,Diversidad Sexual,"Red de refugios, casas de medio camino y pensión social para adolescentes y jóvenes trans expulsadas y expulsados del ámbito familiar, con profesionales capacitados para promover salidas educativas y laborales.",,,,,,Tabaré Vázquez
Programa,112,Diversidad Sexual,Reforma de la normativa jurídica antidiscriminación.,,,,,,Tabaré Vázquez
Programa,112,Diversidad Sexual,Reformulación de la Ley 17.817 para facilitar su aplicación.,,,,,,Tabaré Vázquez
Programa,98,DROGAS,"Contribuir al diseño e instalación de mecanismos de control y fiscalización de expendio de sustancias psicoactivas en el marco de modelos de regulación de mercados como alcohol, marihuana, tabaco.",,,,,,Tabaré Vázquez
Programa,97,DROGAS,"Desarrollar una concepción y estrategia comunicativa del conjunto de los organismos del Estado acerca del uso de sustancias psicoactivas, sus riesgos y daños, cuyo eje comunicacional pase por la desestigmatización de los usuarios de drogas promoviendo la inclusión e inserción social, cultural, económica y educativa de los mismos.",,,,,,Tabaré Vázquez
Programa,98,DROGAS,"Establecimiento de un Sistema Nacional de Investigación sobre Usos de Sustancias Psicoactivas, articulando con los diferentes ámbitos y centros de investigación existentes tanto en el ámbito de la UDELAR, como en el de otras entidades académicas y de la sociedad civil.",,,,,,Tabaré Vázquez
Programa,97,DROGAS,"Promoción de centros de prevención, tratamiento integral, rehabilitación y reinserción para usuarios problemáticos de drogas, con dispositivos ambulatorios y de internación en cada departamento, utilizando la variedad de infraestructura existente. Estas prestaciones deben formar parte de la cobertura del SNIS.",,,,,,Tabaré Vázquez
Discurso,,Economía,Creación del Sistema Nacional de Competitividad.,,,,,,Tabaré Vázquez
Discurso,,Economía,Llevar la inflación a un rango meta entre un 3 y 7 % y ubicándose en el eje del mismo en un plazo aproximado de 18 meses.,,,,,,Tabaré Vázquez
Programa,42,Economía,Creación de un Banco de Desarrollo: donde el Banco de la República debe integrarse como un protagonista central.,,,,,,Tabaré Vázquez
Programa,28,Economía,Avanzar en el incremento de la alícuota del IRAE u otras herramientas tributarias para las actividades de renta excepcional vinculadas al uso de recursos naturales y la concentración de la tierra.,,,,,,Tabaré Vázquez
Programa,28,Economía,"Generalizar la base del Impuesto a Primaria, manteniendo los mínimos existentes.",,,,,,Tabaré Vázquez
Discurso,7,Economía,"Remitir al Parlamento Nacional el proyecto de Ley para restituir el Impuesto de Primaria a las extensiones de tierra superiores a 300 hectáreas, dado que las condiciones que llevaron a suspender este impuesto han sido ampliamente superadas.",,,,,,Tabaré Vázquez
Programa,57,Economía,"En el marco de un banco de fomento o de entidades promotoras del Mypes, se incluirá dentro de los préstamos el costo de gestores que ayuden in situ a mejorar la eficiencia. Extender [esto], en forma proporcional y decreciente según tamaño, a las pequeñas empresas, para que mantengan estímulos acordes a su nivel de desarrollo y en atención a su inserción en cadenas estratégica de creación de valor",,,,,,Tabaré Vázquez
Programa,57,Economía,Estimular la creación de líneas de crédito acordes al tamaño y desarrollo de las Mipymes.,,,,,,Tabaré Vázquez
Programa,57,Economía,"Reducción de tasas, contribuciones y todo otro tributo nacional por un mediano plazo.",,,,,,Tabaré Vázquez
Programa,57,Economía,Se procurará la disminuciónde la tarifa comercial sobre los consumos agua y la disponibilidad de tarifas diferenciales inferiores en otros servicios públicos.,,,,,,Tabaré Vázquez
Discurso,7,Economía,"Se remitirá al Poder Legislativo un proyecto de ley que dispondrá que el pago del IRPF para aguinaldos y salarios se realice de manera separada al resto de las retribuciones, generando así una mejora en los salarios de los trabajadores.",,,,,,Tabaré Vázquez
Programa,56,Economía,Consolidar un Plan Nacional de Desarrollo de la ESyS que sea resultado de la alianza entre gobierno y movimiento social.,,,,,,Tabaré Vázquez
Programa,56,Economía,"Creación de una banca de fomento para el desarrollo que atienda las necesidades de financiamiento de las empresas de economía social y solidaria, y de las medianas y pequeñas empresas.",,,,,,Tabaré Vázquez
Programa,56,Economía,"Estudiar y concretar mecanismos de certificación de los emprendimientos, así como el otorgamiento de sellos o marcas de ESS, a la vez de construir un sistema de indicadores que permitan identificar y medir a los emprendimientos desde su integralidad y diversidad.",,,,,,Tabaré Vázquez
Discurso,7,Economía,"Remitir un proyecto de ley para consolidar legalmente y ajustar los mecanismos de funcionamiento del Fondo de Desarrollo (FONDES), creado por decreto en el año 2011.",,,,,,Tabaré Vázquez
Programa,40,Educación,Consolidar la universalización de la educación primaria y secundaria en el medio rural.,,,,,,Tabaré Vázquez
Programa,71,Educación,Creación de una Estrategia Nacional de Respaldo al Aprendizaje.,,,,,,Tabaré Vázquez
Discurso,5,Educación,Crear un sistema integrado para la educación básica de 3 a 14 años.,,,,,,Tabaré Vázquez
Programa,71,Educación,Crear un Sistema Nacional de Becas.,,,,,,Tabaré Vázquez
Programa,70,Educación,"Desarrollar centros educativos de pequeño y mediano porte que garanticen vínculos interpersonales entre docentes, alumnos, funcionarios y familias.",,,,,,Tabaré Vázquez
Programa,70,Educación,"Elaborar un Plan Nacional de Educación a largo plazo, con amplios consensos sociales y políticos, orientado a la transformación de la educación pública que tome en cuenta para su debate: fines y objetivos de la educación; la cobertura del sistema; la profesión docente; aprendizajes deseables: su diversidad, integralidad, universalidad y democratización; la evaluación continua, y la construcción y distribución social del conocimiento. Para su discusión, elaboración y seguimiento se tendrán en cuenta los aportes del Congreso Nacional de Educación previsto por la Ley de Educación.",,,,,,Tabaré Vázquez
Programa,70,Educación,Exigir presupuestalmente ir hacia el 6% del PBI.,,,,,,Tabaré Vázquez
Programa,71,Educación,Instalar un Plan Nacional de Acreditación de aquellos conocimientos que los trabajadores se apropian en su relación con el mundo del trabajo.,,,,,,Tabaré Vázquez
Discurso,5,Educación,Para el año 2020 el 100 % de los jóvenes de hasta 17 años esté en el sistema educativo y el 75 % termine el ciclo de enseñanza media,,,,,,Tabaré Vázquez
Discurso,2,Estado y Descentralización,"Formulación de un inventario de los bienes estatales, su estado de situación, ocupación y demás aspectos inherentes.",,,,,,Tabaré Vázquez
Programa,123,Estado y Descentralización,"La Ley Nº 9.515 (Orgánica Municipal de 1935) requiere actualización, tanto en función  del tiempo transcurrido como de las derogaciones tácitas generadas por normativas posteriores (constitucionales y legales) y los desafíos de una estrategia de descentralización participativa.",,,,,,Tabaré Vázquez
Programa,122,Estado y Descentralización,Proponer que en el presupuesto nacional los distintos Ministerios y Entes del Estado realicen la apertura presupuestal para actividades de desarrollo vinculado con los cometidos de nivel municipal.,,,,,,Tabaré Vázquez
Discurso,1,Estado y Descentralización,Remitir al Parlamento Nacional un proyecto de ley proponiendo que el Ministerio Público y Fiscal deje de ser una unidad ejecutora del Ministerio de Educación y Cultura para pasar a ser un servicio descentralizado.,,,,,,Tabaré Vázquez
Programa,122,Estado y Descentralización,Transferencia efectiva de recursos a los gobiernos municipales acompañado de la capacitación adecuada y no dejarlo librado a la decisión política de cada gobierno departamental. ,,,,,,Tabaré Vázquez
Discurso,2,Estado y Descentralización,"Convocar a un foro Uruguay 2050 a realizarse en el segundo semestre del presente año y en el que participarán representantes de la sociedad civil, desde la academia a los medios de comunicación, pasando por empresas públicas, agencias estatales, congreso de intendentes, plenario de municipios, cámaras empresariales, organizaciones gremiales, sindicales y religiosas, organizaciones no gubernamentales, etcétera.",,,,,,Tabaré Vázquez
Programa,120,Estado y Descentralización,"Definir una política comunicacional para los organismos estatales, que incluya los medios masivos de comunicación, sobre los diferentes servicios que se prestan a la población.",,,,,,Tabaré Vázquez
Programa,120,Estado y Descentralización,Implementar un Sistema de Planificación Estratégica Integral y de Planificación Anual Operativa que permita dotar al Estado de eficaces herramientas de gestión.,,,,,,Tabaré Vázquez
Programa,119,Estado y Descentralización,"Promover, en el marco de la ley, la movilidad horizontal y vertical, comenzando por las empresas públicas a fin de aprovechar del mejor modo posible las disponibilidades de personal.",,,,,,Tabaré Vázquez
Discurso,3,Estado y Descentralización,"En el año 2016, el 100 % de los trámites puedrán ser iniciados y seguidos mediante Internet e incluso desde los propios teléfonos celulares desde los cuales podrán hasta efectuarse los pagos correspondientes.",,,,,,Tabaré Vázquez
Programa,34,I+D,"Creación de una Red Nacional de Agencias de Desarrollo Local, que dialoguen de manera permanente con estas agencias nacionales (ANII, INEFOP, CND, INACOOP, Uruguay XXI)",,,,,,Tabaré Vázquez
Programa,59,I+D,"Diseñar y poner en práctica una política de software y activos informáticos. Esta política deberá promover el desarrollo del ecosistema de software a nivel nacional e incentivar el desarrollo de software libre promoviendo un modelo socializante. Establecer el marco regulatorio para uso de los recursos, entre ellos, el de computación en la “nube” en sus diferentesmodalidades de servicios,tanto de software como de datos. Esta regulación deberá garantizar la soberanía nacional sobre dichos datos y servicios, de tal manera que sean localizados íntegramente en el territorio nacional y evitar la generación de monopolios privados y asegurar la gestión estatal de dichos servicios.",,,,,,Tabaré Vázquez
Programa,60,I+D,"No admitir controles de contenidos en Internet, de forma de no limitar el acceso al conocimiento, más allá de las prevenciones que se deberán tomar en cuanto a defensa y soberanía nacionales.",,,,,,Tabaré Vázquez
Programa,59,I+D,"Promover la publicación abierta de resultados de investigaciones e innovaciones financiados por el Estado para propiciar un acercamiento entre la academia, la producción y los ciudadanos. Promover el acceso al conocimiento a partir de la publicación abierta de resultados de investigaciones financiadas por el Estado, así como de innovaciones generadas del mismo modo.",,,,,,Tabaré Vázquez
Discurso,7,I+D,Triplicaremos la inversión en ciencia y tecnologías de la información que alcanzará el 1 % del producto bruto interno (PIB),,,,,,Tabaré Vázquez
Programa,43,Industria,Eliminación de todas las exoneraciones a la importación de vestimenta que compita con la producción nacional. ,,,,,,Tabaré Vázquez
Programa,43,Industria,"En la industria naval se impulsará la construcción de barcazas para transporte de mercaderías en cabotaje; de remolcadores para ANP y ANCAP, es decir la potenciación del cluster naval que además generará actividades conexas como talleres de mantenimiento y reparaciones.",,,,,,Tabaré Vázquez
Programa,??,Industria,"La vestimenta para la policía, fuerzas armadas, bomberos, salud pública, etc. debe tener mano de obra nacional. Serán resultado de licitaciones nacionales para emprendimientos en determinadas condiciones acordadas en forma tripartita como por ejemplo empresas que respetan la libertad sindical y la negociación colectiva.",,,,,,Tabaré Vázquez
Programa,47,Industria,"Poner en funcionamiento un vasto proyecto que permitirá identificar los residuos de las diversas cadenas agroindustriales del país, definir las tecnologías más adecuadas para transformarlos en diferentes tipos de energía, poner en marcha proyectos pilotos y definir una hoja de ruta para la multiplicación en todo el país.",,,,,,Tabaré Vázquez
Programa,47,Industria,"Se pondrá en funcionamiento la terminal regasificadora de gas natural licuado y a partir de ello se consolidarán los instrumentos para el desarrollo de la cadena del gas natural en nuestro país, tanto en el sector residencial, como industrial y el transporte.",,,,,,Tabaré Vázquez
Programa,46,Industria,Exoneraciones impositivas orientadas y empleadas para favorecer la inversión en las áreas retrasadas en potencial turístico.,,,,,,Tabaré Vázquez
Programa,46,Industria,"Expandir los programas de Turismo Social, los que tendrán una función sinérgica con otros programas:tercera edad, quinceañeras, niños y niñas, jóvenes,trabajadores y trabajadoras, ciudadanos de bajos recursos.",,,,,,Tabaré Vázquez
Programa,41,Industria,"Consolidación del Gabinete Productivo y de los Consejos Sectoriales - El Gabinete Productivo y los Consejos Sectoriales serán los pilares fundamentales de la definición del desarrollo de los sectores agroindustriales y de servicios, dotando de un significado coherente, en un mismo plan estratégico, al conjunto de programas ya existentes.",,,,,,Tabaré Vázquez
Programa,101,Infancia y Adolescenia,"Aumento de cobertura del Plan CAIF (efector público principal) alcanzando, en una primera etapa, a todos los hogares de los dos primeros quintiles de ingresos; y en una segunda etapa, desarrollándolo - con las adaptaciones que correspondan - en el conjunto de la sociedad",,,,,,Tabaré Vázquez
Programa,102,Infancia y Adolescenia,Consolidar el Comité Nacional para la erradicación de la explotación sexual de niños/as y adolescentes y su Plan de acción.,,,,,,Tabaré Vázquez
Programa,101,Infancia y Adolescenia,Desarrollo de un Plan Nacional de Eliminación de Anemia (primera infancia).,,,,,,Tabaré Vázquez
Programa,101,Infancia y Adolescenia,"Extensión, a todo el Sistema de Salud, del sistema de seguimiento (Plan Aduana en ASSE) en cumplimiento de las metas prestacionales vinculadas a la visita domiciliaria integral; cumplimiento de los controles de salud; universalización efectiva de la evaluación del desarrollo infantil en etapas claves.",,,,,,Tabaré Vázquez
Programa,101,Infancia y Adolescenia,"Proteger por ley a las mujeres trabajadoras para que no pierdan incentivos semanales y mensuales cuando concurren a control de embarazo, así como a madres y padres por atención de salud de niñas y niños en su primera infancia.",,,,,,Tabaré Vázquez
Programa,102,Infancia y Adolescenia,"Uso del carné de salud como documento público con validez en los ámbitos educativos, laborales y deportivos.",,,,,,Tabaré Vázquez
Programa,49,Infraestructura y Telecomunicaciones,"Creación de una Política Aeronáutica Nacional, intentando lograr la mayor certificación internacional del sistema aeroportuario del país.",,,,,,Tabaré Vázquez
Programa,49,Infraestructura y Telecomunicaciones,"Implementación de una tasa de pago por uso para transporte de carga para generar mayor equidad en la distribución del peso del costo de rehabilitación,mantenimiento y diseño de nuevas rutas.",,,,,,Tabaré Vázquez
Programa,144,Infraestructura y Telecomunicaciones,Implementación del Puerto de Aguas Profundas en Rocha.,,,,,,Tabaré Vázquez
Discurso,4,Infraestructura y Telecomunicaciones,"Implementación del Sistema Nacional de Infraestructura con el objetivo de orientar el proceso de inversión pública y privada en el país, priorizando la recuperación, mantenimiento y desarrollo de la red carretera y ferroviaria, así como de puertos y aeropuertos.",,,,,,Tabaré Vázquez
Discurso,4,Infraestructura y Telecomunicaciones,"Inmediatamente pondremos en práctica un plan para la reparación y mantenimiento de la red vial que se encuentra deteriorada, en especial la rutas: 30, entre ruta 5 y repecho de Pena en el departamento de Artigas, la ruta 27 en el departamento de Rivera, la 12 y 55 y otras rutas, además, de los departamentos de Colonia y Soriano que hacen a la regional 7 de la Dirección de Vialidad.",,,,,,Tabaré Vázquez
Programa,50,Infraestructura y Telecomunicaciones,Priorizar la formación de los recursos humanos por parte de la UDELAR creando la carrera de Licenciatura en Logística.,,,,,,Tabaré Vázquez
Programa,48,Infraestructura y Telecomunicaciones,"Se generará un fuerte Sistema Nacional de Puertos (S.N.P.) que trabaje de continuo en la mejora y el desarrollo de los puertos comerciales, deportivos, turísticos y pesqueros tanto estatales o en régimen de concesión, de forma tal que con un criterio de complementariedad, la infraestructura instalada y a instalarse así como la tecnología necesaria, puedan hacer frente a la demanda que generan las importaciones, exportaciones y los tránsitos, en forma oportuna y eficiente",,,,,,Tabaré Vázquez
Programa,50,Infraestructura y Telecomunicaciones,"Se mejorará el control a las asociaciones público-privadas y público-públicas, a través del desarrollo de normativas claras que permitan una mayor transparencia así como mayores y más eficientes controles en las asociaciones, lo que permitirá mejores inversiones en el país.",,,,,,Tabaré Vázquez
Programa,49,Infraestructura y Telecomunicaciones,"Se planificará e implementará el desarrollo de un Sistema Integral de Transporte, como herramienta para la integración de nuestro país con la región, potenciando el intercambio comercial internacional.",,,,,,Tabaré Vázquez
Programa,48,Infraestructura y Telecomunicaciones,"Se planificarán y construirán en La Paloma, Piriápolis y Punta del Este nuevas instalaciones para la pesca artesanal.",,,,,,Tabaré Vázquez
Programa,52,Infraestructura y Telecomunicaciones,"Promover la descentralización de la radio y la TV estatal creando emisoras de radio en el interior del país, que no sólo retransmitan contenidos creados en Montevideo, sino que apuesten a la generación de contenidos de carácter local.",,,,,,Tabaré Vázquez
Programa,51,Infraestructura y Telecomunicaciones,"Resultan necesarios Centros de Datos de alta confiabilidad y capacidad que permitan concentrar y optimizar las capacidades de TI del Estado y que posibiliten ofrecer servicios de gran valor agregado para los países de la región, apuntando a ser un centro regional de excelencia en estos servicios.",,,,,,Tabaré Vázquez
Programa,52,Infraestructura y Telecomunicaciones,Se debe culminar el despliegue nacional de la “Fibra al Hogar”.,,,,,,Tabaré Vázquez
Programa,50,Infraestructura y Telecomunicaciones,"Desarrollar un Programa de Transporte Colectivo Nacional (TCN) de calidad, con un análisis y desarrollo de sistemas de transporte departamentales.",,,,,,Tabaré Vázquez
Programa,111,Igualdad racial y de genero,Crear en el Poder Ejecutivo la Institucionalidad adecuada cuya misión sea el diseño y la implementación de políticas públicas y acción afirmativa que integren los principios de igualdad y no discriminación en todos los niveles y áreas de la gestión pública (trasversalización por género y edad). ,,,,,,Tabaré Vázquez
Programa,110,Igualdad racial y de genero,La incorporación en todos los niveles de la educación formal de la Historia General de África y los contenidos referentes a la historia de la población afrouruguaya y sus aportes en la construcción de la sociedad.,,,,,,Tabaré Vázquez
Programa,109,Igualdad racial y de genero,"Cumplimientos de los Convenios de la OIT especialmente el 183 relativo a la extensión de las licencias maternales, profundizar las licencias parentales, etc.",,,,,,Tabaré Vázquez
Programa,109,Igualdad racial y de genero,Eliminación de los llamados discriminatorios por sexo y edad.,,,,,,Tabaré Vázquez
Programa,109,Igualdad racial y de genero,Incorporación de cláusulas de género en los negociaciones salariales.,,,,,,Tabaré Vázquez
Programa,104,Juventud,"Consultorios Jurídicos para jóvenes: resulta fundamental instalar y extender en el territorio nacional consultorios jurídicos que brinden un servicio de asistencia, asesoramiento y patrocinio jurídico que permita promover derechos y abordar situaciones donde son vulnerados los derechos de las generaciones más jóvenes.",,,,,,Tabaré Vázquez
Programa,104,Juventud,Extender el programa Compromiso Educativo y Más Centro en los centros educativos de educación media.,,,,,,Tabaré Vázquez
